woonplaats,gemeente,provincie
Gaanderen,Doetinchem,Gelderland
Gaast,Súdwest-Friesland,Friesland
Gaastemeer,Súdwest-Friesland,Friesland
Galder,Alphen-Chaam,Noord-Brabant
Gameren,Zaltbommel,Gelderland
Gapinge,Veere,Zeeland
Garderen,Barneveld,Gelderland
Garmerwolde,Groningen,Groningen
Garminge,Midden-Drenthe,Drenthe
Garnwerd,Westerkwartier,Groningen
Garrelsweer,Eemsdelta,Groningen
Garsthuizen,Eemsdelta,Groningen
Garyp,Tytsjerksteradiel,Friesland
Gassel,Land van Cuijk,Noord-Brabant
Gasselte,Aa en Hunze,Drenthe
Gasselternijveen,Aa en Hunze,Drenthe
Gasselternijveenschemond,Aa en Hunze,Drenthe
Gastel,Cranendonck,Noord-Brabant
Gasteren,Aa en Hunze,Drenthe
Gauw,Súdwest-Friesland,Friesland
Geelbroek,Aa en Hunze,Drenthe
Geerdijk,Twenterand,Overijssel
Geersdijk,Noord-Beveland,Zeeland
Geertruidenberg,Geertruidenberg,Noord-Brabant
Geervliet,Nissewaard,Zuid-Holland
Gees,Coevorden,Drenthe
Geesbrug,Coevorden,Drenthe
Geesteren,Berkelland,Gelderland
Geesteren,Tubbergen,Overijssel
Geeuwenbrug,Westerveld,Drenthe
Geffen,Oss,Noord-Brabant
Geijsteren,Venray,Limburg
Geldermalsen,West Betuwe,Gelderland
Gelderswoude,Zoeterwoude,Zuid-Holland
Geldrop,Geldrop-Mierlo,Noord-Brabant
Geleen,Sittard-Geleen,Limburg
Gellicum,West Betuwe,Gelderland
Gelselaar,Berkelland,Gelderland
Gemert,Gemert-Bakel,Noord-Brabant
Gemonde,Sint-Michielsgestel,Noord-Brabant
Genderen,Altena,Noord-Brabant
Gendringen,Oude IJsselstreek,Gelderland
Gendt,Lingewaard,Gelderland
Genemuiden,Zwartewaterland,Overijssel
Gennep,Gennep,Limburg
Gerkesklooster,Achtkarspelen,Friesland
Gersloot,Heerenveen,Friesland
Geulle,Meerssen,Limburg
Giesbeek,Zevenaar,Gelderland
Giessen,Altena,Noord-Brabant
Giessenburg,Molenlanden,Zuid-Holland
Gieten,Aa en Hunze,Drenthe
Gieterveen,Aa en Hunze,Drenthe
Giethmen,Ommen,Overijssel
Giethoorn,Steenwijkerland,Overijssel
Gilze,Gilze en Rijen,Noord-Brabant
Ginnum,Noardeast-Friesland,Friesland
Glane,Losser,Overijssel
Glimmen,Groningen,Groningen
Godlinze,Eemsdelta,Groningen
Goedereede,Goeree-Overflakkee,Zuid-Holland
Goes,Goes,Zeeland
Goingarijp,De Fryske Marren,Friesland
Goirle,Goirle,Noord-Brabant
Goor,Hof van Twente,Overijssel
Gorinchem,Gorinchem,Zuid-Holland
Gorredijk,Opsterland,Friesland
Gorssel,Lochem,Gelderland
Gouda,Gouda,Zuid-Holland
Gouderak,Krimpenerwaard,Zuid-Holland
Goudriaan,Molenlanden,Zuid-Holland
Goudswaard,Hoeksche Waard,Zuid-Holland
Goutum,Leeuwarden,Friesland
Goënga,Súdwest-Friesland,Friesland
Goëngahuizen,Smallingerland,Friesland
Graauw,Hulst,Zeeland
Grafhorst,Kampen,Overijssel
Graft,Alkmaar,Noord-Holland
Gramsbergen,Hardenberg,Overijssel
Grashoek,Peel en Maas,Limburg
Grathem,Leudal,Limburg
Grave,Land van Cuijk,Noord-Brabant
Greonterp,Súdwest-Friesland,Friesland
Grevenbicht,Sittard-Geleen,Limburg
Griendtsveen,Horst aan de Maas,Limburg
Grijpskerk,Westerkwartier,Groningen
Grijpskerke,Veere,Zeeland
Groede,Sluis,Zeeland
Groenekan,De Bilt,Utrecht
Groeningen,Land van Cuijk,Noord-Brabant
Groenlo,Oost Gelre,Gelderland
Groesbeek,Berg en Dal,Gelderland
Groessen,Duiven,Gelderland
Groet,Bergen,Noord-Holland
Grolloo,Aa en Hunze,Drenthe
Groningen,Groningen,Groningen
Gronsveld,Eijsden-Margraten,Limburg
Groot-Ammers,Molenlanden,Zuid-Holland
Grootebroek,Stede Broec,Noord-Holland
Grootegast,Westerkwartier,Groningen
Grootschermer,Alkmaar,Noord-Holland
Grou,Leeuwarden,Friesland
Grubbenvorst,Horst aan de Maas,Limburg
Gulpen,Gulpen-Wittem,Limburg
Guttecoven,Sittard-Geleen,Limburg
Gytsjerk,Tytsjerksteradiel,Friesland
Haaften,West Betuwe,Gelderland
Haaksbergen,Haaksbergen,Overijssel
Haalderen,Lingewaard,Gelderland
Haaren,Oisterwijk,Noord-Brabant
Haarle,Tubbergen,Overijssel
Haarle,Hellendoorn,Overijssel
Haarlem,Haarlem,Noord-Holland
Haarlemmerliede,Haarlemmermeer,Noord-Holland
Haarlo,Berkelland,Gelderland
Haarsteeg,Heusden,Noord-Brabant
Haarzuilens,Utrecht,Utrecht
Haastrecht,Krimpenerwaard,Zuid-Holland
Haelen,Leudal,Limburg
Hagestein,Vijfheerenlanden,Utrecht
Haghorst,Hilvarenbeek,Noord-Brabant
Haler,Leudal,Limburg
Halfweg,Haarlemmermeer,Noord-Holland
Hall,Brummen,Gelderland
Halle,Bronckhorst,Gelderland
Hallum,Noardeast-Friesland,Friesland
Halsteren,Bergen op Zoom,Noord-Brabant
Handel,Gemert-Bakel,Noord-Brabant
Hank,Altena,Noord-Brabant
Hansweert,Reimerswaal,Zeeland
Hantum,Noardeast-Friesland,Friesland
Hantumerútbuorren,Noardeast-Friesland,Friesland
Hantumhuzen,Noardeast-Friesland,Friesland
Hapert,Bladel,Noord-Brabant
Haps,Land van Cuijk,Noord-Brabant
Harbrinkhoek,Tubbergen,Overijssel
Hardenberg,Hardenberg,Overijssel
Harderwijk,Harderwijk,Gelderland
Hardinxveld-Giessendam,Hardinxveld-Giessendam,Zuid-Holland
Haren,Oss,Noord-Brabant
Haren,Groningen,Groningen
Harfsen,Lochem,Gelderland
Harich,De Fryske Marren,Friesland
Haringhuizen,Hollands Kroon,Noord-Holland
Harkema,Achtkarspelen,Friesland
Harkstede,Midden-Groningen,Groningen
Harkstede GN,Groningen,Groningen
Harlingen,Harlingen,Friesland
Harmelen,Woerden,Utrecht
Harreveld,Oost Gelre,Gelderland
Harskamp,Ede,Gelderland
Hartwerd,Súdwest-Friesland,Friesland
Haskerdijken,Heerenveen,Friesland
Haskerhorne,De Fryske Marren,Friesland
Hasselt,Zwartewaterland,Overijssel
Hattem,Hattem,Gelderland
Hattemerbroek,Oldebroek,Gelderland
Haule,Ooststellingwerf,Friesland
Haulerwijk,Ooststellingwerf,Friesland
Hauwert,Medemblik,Noord-Holland
Havelte,Westerveld,Drenthe
Havelterberg,Westerveld,Drenthe
Hazerswoude-Dorp,Alphen aan den Rijn,Zuid-Holland
Hazerswoude-Rijndijk,Alphen aan den Rijn,Zuid-Holland
Hedel,Maasdriel,Gelderland
Hedikhuizen,Heusden,Noord-Brabant
Hee,Terschelling,Friesland
Heeg,Súdwest-Friesland,Friesland
Heel,Maasgouw,Limburg
Heelsum,Renkum,Gelderland
Heelweg,Oude IJsselstreek,Gelderland
Heemserveen,Hardenberg,Overijssel
Heemskerk,Heemskerk,Noord-Holland
Heemstede,Heemstede,Noord-Holland
Heenvliet,Nissewaard,Zuid-Holland
Heerde,Heerde,Gelderland
Heerenveen,Heerenveen,Friesland
Heerewaarden,Maasdriel,Gelderland
Heerhugowaard,Dijk en Waard,Noord-Holland
Heerjansdam,Zwijndrecht,Zuid-Holland
Heerle,Roosendaal,Noord-Brabant
Heerlen,Heerlen,Limburg
Heesbeen,Heusden,Noord-Brabant
Heesch,Bernheze,Noord-Brabant
Heesselt,West Betuwe,Gelderland
Heeswijk-Dinther,Bernheze,Noord-Brabant
Heeten,Raalte,Overijssel
Heeze,Heeze-Leende,Noord-Brabant
Hegebeintum,Noardeast-Friesland,Friesland
Hegelsom,Horst aan de Maas,Limburg
Hei- en Boeicop,Vijfheerenlanden,Utrecht
Heibloem,Leudal,Limburg
Heide,Venray,Limburg
Heijen,Gennep,Limburg
Heijenrath,Gulpen-Wittem,Limburg
Heijningen,Moerdijk,Noord-Brabant
Heikant,Hulst,Zeeland
Heilig Landstichting,Berg en Dal,Gelderland
Heiligerlee,Oldambt,Groningen
Heiloo,Heiloo,Noord-Holland
Heinenoord,Hoeksche Waard,Zuid-Holland
Heinkenszand,Borsele,Zeeland
Heino,Raalte,Overijssel
Hekelingen,Nissewaard,Zuid-Holland
Hekendorp,Oudewater,Utrecht
Helden,Peel en Maas,Limburg
Helenaveen,Deurne,Noord-Brabant
Hellendoorn,Hellendoorn,Overijssel
Hellevoetsluis,Voorne aan Zee,Zuid-Holland
Hellouw,West Betuwe,Gelderland
Hellum,Midden-Groningen,Groningen
Helmond,Helmond,Noord-Brabant
Helvoirt,Vught,Noord-Brabant
Hem,Drechterland,Noord-Holland
Hemelum,Súdwest-Friesland,Friesland
Hemmen,Overbetuwe,Gelderland
Hempens,Leeuwarden,Friesland
Hemrik,Opsterland,Friesland
Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Zuid-Holland
Hengelo,Hengelo,Overijssel
Hengelo (Gld),Bronckhorst,Gelderland
Hengevelde,Hof van Twente,Overijssel
Hengstdijk,Hulst,Zeeland
Hensbroek,Koggenland,Noord-Holland
Herbaijum,Waadhoeke,Friesland
Herkenbosch,Roerdalen,Limburg
Herkingen,Goeree-Overflakkee,Zuid-Holland
Hernen,Wijchen,Gelderland
Herpen,Oss,Noord-Brabant
Herpt,Heusden,Noord-Brabant
Herten,Roermond,Limburg
Hertme,Borne,Overijssel
Herveld,Overbetuwe,Gelderland
Herwen,Zevenaar,Gelderland
Herwijnen,West Betuwe,Gelderland
Heteren,Overbetuwe,Gelderland
Heukelom,Oisterwijk,Noord-Brabant
Heukelum,West Betuwe,Gelderland
Heumen,Heumen,Gelderland
Heusden,Heusden,Noord-Brabant
Heusden,Asten,Noord-Brabant
Heveadorp,Renkum,Gelderland
Heythuysen,Leudal,Limburg
Hezingen,Tubbergen,Overijssel
Hiaure,Noardeast-Friesland,Friesland
Hichtum,Súdwest-Friesland,Friesland
Hidaard,Súdwest-Friesland,Friesland
Hierden,Harderwijk,Gelderland
Hieslum,Súdwest-Friesland,Friesland
Hijken,Midden-Drenthe,Drenthe
Hijum,Leeuwarden,Friesland
Hilaard,Leeuwarden,Friesland
Hillegom,Hillegom,Zuid-Holland
Hilvarenbeek,Hilvarenbeek,Noord-Brabant
Hilversum,Hilversum,Noord-Holland
Hindeloopen,Súdwest-Friesland,Friesland
Hinnaard,Súdwest-Friesland,Friesland
Hippolytushoef,Hollands Kroon,Noord-Holland
Hitzum,Waadhoeke,Friesland
Hobrede,Edam-Volendam,Noord-Holland
Hoedekenskerke,Borsele,Zeeland
Hoef en Haag,Vijfheerenlanden,Utrecht
Hoek,Terneuzen,Zeeland
Hoek van Holland,Rotterdam,Zuid-Holland
Hoenderloo,Apeldoorn,Gelderland
Hoenderloo,Ede,Gelderland
Hoensbroek,Heerlen,Limburg
Hoenzadriel,Maasdriel,Gelderland
Hoevelaken,Nijkerk,Gelderland
Hoeven,Halderberge,Noord-Brabant
Hoge Hexel,Wierden,Overijssel
Hollandsche Rading,De Bilt,Utrecht
Hollandscheveld,Hoogeveen,Drenthe
Hollum,Ameland,Friesland
Holsloot,Coevorden,Drenthe
Holten,Rijssen-Holten,Overijssel
Holthees,Land van Cuijk,Noord-Brabant
Holtheme,Hardenberg,Overijssel
Holthone,Hardenberg,Overijssel
Holtum,Sittard-Geleen,Limburg
Holwert,Noardeast-Friesland,Friesland
Holwierde,Eemsdelta,Groningen
Hommerts,Súdwest-Friesland,Friesland
Homoet,Overbetuwe,Gelderland
Honselersdijk,Westland,Zuid-Holland
Hoofddorp,Haarlemmermeer,Noord-Holland
Hoofdplaat,Sluis,Zeeland
Hoog Soeren,Apeldoorn,Gelderland
Hoog-Keppel,Bronckhorst,Gelderland
Hoogblokland,Molenlanden,Zuid-Holland
Hooge Mierde,Reusel-De Mierden,Noord-Brabant
Hooge Zwaluwe,Drimmelen,Noord-Brabant
Hoogeloon,Bladel,Noord-Brabant
Hoogenweg,Hardenberg,Overijssel
Hoogerheide,Woensdrecht,Noord-Brabant
Hoogersmilde,Midden-Drenthe,Drenthe
Hoogersmilde,Westerveld,Drenthe
Hoogeveen,Hoogeveen,Drenthe
Hoogezand,Midden-Groningen,Groningen
Hooghalen,Midden-Drenthe,Drenthe
Hoogkarspel,Drechterland,Noord-Holland
Hoogland,Amersfoort,Utrecht
Hooglanderveen,Amersfoort,Utrecht
Hoogmade,Kaag en Braassem,Zuid-Holland
Hoogvliet Rotterdam,Rotterdam,Zuid-Holland
Hoogwoud,Opmeer,Noord-Holland
Hoorn,Terschelling,Friesland
Hoorn,Hoorn,Noord-Holland
Hoornaar,Molenlanden,Zuid-Holland
Hoornsterzwaag / Hoarnstersweach,Heerenveen,Friesland
Horn,Leudal,Limburg
Hornhuizen,Het Hogeland,Groningen
Horssen,Druten,Gelderland
Horst,Horst aan de Maas,Limburg
Houten,Houten,Utrecht
Houtigehage,Smallingerland,Friesland
Houwerzijl,Het Hogeland,Groningen
Huijbergen,Woensdrecht,Noord-Brabant
Huis ter Heide,Noordenveld,Drenthe
Huis ter Heide,Zeist,Utrecht
Huisduinen,Den Helder,Noord-Holland
Huisseling,Oss,Noord-Brabant
Huissen,Lingewaard,Gelderland
Huizen,Huizen,Noord-Holland
Huizinge,Eemsdelta,Groningen
Hulsberg,Beekdaelen,Limburg
Hulsel,Reusel-De Mierden,Noord-Brabant
Hulshorst,Nunspeet,Gelderland
Hulst,Hulst,Zeeland
Hulten,Gilze en Rijen,Noord-Brabant
Hummelo,Bronckhorst,Gelderland
Hunsel,Leudal,Limburg
Hurdegaryp,Tytsjerksteradiel,Friesland
Hurwenen,Maasdriel,Gelderland
Húns,Leeuwarden,Friesland
IJhorst,Staphorst,Overijssel
IJlst,Súdwest-Friesland,Friesland
IJmuiden,Velsen,Noord-Holland
IJsselham,Steenwijkerland,Overijssel
IJsselmuiden,Kampen,Overijssel
IJsselstein,IJsselstein,Utrecht
IJzendijke,Sluis,Zeeland
IJzendoorn,Neder-Betuwe,Gelderland
Idaerd,Leeuwarden,Friesland
Idsegahuizum,Súdwest-Friesland,Friesland
Idskenhuizen,De Fryske Marren,Friesland
Idzega,Súdwest-Friesland,Friesland
Ie,Noardeast-Friesland,Friesland
Iens,Súdwest-Friesland,Friesland
Ilpendam,Waterland,Noord-Holland
Indijk,Súdwest-Friesland,Friesland
Ingber,Gulpen-Wittem,Limburg
Ingelum,Waadhoeke,Friesland
Ingen,Buren,Gelderland
Ingwierrum,Noardeast-Friesland,Friesland
It Heidenskip,Súdwest-Friesland,Friesland
Itens,Súdwest-Friesland,Friesland
Ittervoort,Leudal,Limburg
Jaarsveld,Lopik,Utrecht
Jabeek,Beekdaelen,Limburg
Jannum,Noardeast-Friesland,Friesland
Jellum,Leeuwarden,Friesland
Jelsum,Leeuwarden,Friesland
Jirnsum,Leeuwarden,Friesland
Jislum,Noardeast-Friesland,Friesland
Jisp,Wormerland,Noord-Holland
Jistrum,Tytsjerksteradiel,Friesland
Jonkerslân,Opsterland,Friesland
Jonkersvaart,Westerkwartier,Groningen
Joppe,Lochem,Gelderland
Jorwert,Leeuwarden,Friesland
Joure,De Fryske Marren,Friesland
Jouswier,Noardeast-Friesland,Friesland
Jubbega,Heerenveen,Friesland
Julianadorp,Den Helder,Noord-Holland
Jutrijp,Súdwest-Friesland,Friesland
Kaag,Kaag en Braassem,Zuid-Holland
Kaard,Terschelling,Friesland
Kaatsheuvel,Loon op Zand,Noord-Brabant
Kalenberg,Steenwijkerland,Overijssel
Kallenkote,Steenwijkerland,Overijssel
Kamerik,Woerden,Utrecht
Kampen,Kampen,Overijssel
Kamperland,Noord-Beveland,Zeeland
Kamperveen,Kampen,Overijssel
Kantens,Het Hogeland,Groningen
Kapel Avezaath,Tiel,Gelderland
Kapel-Avezaath,Buren,Gelderland
Kapelle,Kapelle,Zeeland
Kapellebrug,Hulst,Zeeland
Katlijk,Heerenveen,Friesland
Kats,Noord-Beveland,Zeeland
Kattendijke,Goes,Zeeland
Katwijk,Katwijk,Zuid-Holland
Katwijk NB,Land van Cuijk,Noord-Brabant
Katwoude,Waterland,Noord-Holland
Kedichem,Vijfheerenlanden,Utrecht
Keent,Oss,Noord-Brabant
Keijenborg,Bronckhorst,Gelderland
Kekerdom,Berg en Dal,Gelderland
Kelpen-Oler,Leudal,Limburg
Kerk Avezaath,Tiel,Gelderland
Kerk-Avezaath,Buren,Gelderland
Kerkdriel,Maasdriel,Gelderland
Kerkenveld,De Wolden,Drenthe
Kerkrade,Kerkrade,Limburg
Kerkwerve,Schouwen-Duiveland,Zeeland
Kerkwijk,Zaltbommel,Gelderland
Kessel,Peel en Maas,Limburg
Kesteren,Neder-Betuwe,Gelderland
Kiel-Windeweer,Midden-Groningen,Groningen
Kilder,Montferland,Gelderland
Kimswerd,Súdwest-Friesland,Friesland
Kinderdijk,Molenlanden,Zuid-Holland
Kinnum,Terschelling,Friesland
Klaaswaal,Hoeksche Waard,Zuid-Holland
Klarenbeek,Apeldoorn,Gelderland
Klarenbeek,Voorst,Gelderland
Klazienaveen,Emmen,Drenthe
Klazienaveen-Noord,Emmen,Drenthe
Klein Zundert,Zundert,Noord-Brabant
Klijndijk,Borger-Odoorn,Drenthe
Klimmen,Voerendaal,Limburg
Kloetinge,Goes,Zeeland
Kloetinge,Kapelle,Zeeland
Klooster Lidlum,Waadhoeke,Friesland
Kloosterburen,Het Hogeland,Groningen
Kloosterhaar,Hardenberg,Overijssel
Kloosterhaar,Twenterand,Overijssel
Kloosterzande,Hulst,Zeeland
Klundert,Moerdijk,Noord-Brabant
Knegsel,Eersel,Noord-Brabant
Koarnjum,Leeuwarden,Friesland
Kockengen,Stichtse Vecht,Utrecht
Koedijk,Alkmaar,Noord-Holland
Koedijk,Dijk en Waard,Noord-Holland
Koekange,De Wolden,Drenthe
Koewacht,Terneuzen,Zeeland
Kolderwolde,De Fryske Marren,Friesland
Kolham,Midden-Groningen,Groningen
Kolhorn,Hollands Kroon,Noord-Holland
Kollum,Noardeast-Friesland,Friesland
Kollumerpomp,Noardeast-Friesland,Friesland
Kollumersweach,Noardeast-Friesland,Friesland
Kommerzijl,Westerkwartier,Groningen
Koningsbosch,Echt-Susteren,Limburg
Koningslust,Peel en Maas,Limburg
Koog aan de Zaan,Zaanstad,Noord-Holland
Kootstertille,Achtkarspelen,Friesland
Kootwijk,Barneveld,Gelderland
Kootwijkerbroek,Barneveld,Gelderland
Kornhorn,Westerkwartier,Groningen
Kornwerderzand,Súdwest-Friesland,Friesland
Kortehemmen,Smallingerland,Friesland
Kortenhoef,Wijdemeren,Noord-Holland
Kortgene,Noord-Beveland,Zeeland
Koudekerk aan den Rijn,Alphen aan den Rijn,Zuid-Holland
Koudekerke,Veere,Zeeland
Koudum,Súdwest-Friesland,Friesland
Koufurderrige,Súdwest-Friesland,Friesland
Krabbendijke,Reimerswaal,Zeeland
Kraggenburg,Noordoostpolder,Flevoland
Kreileroord,Hollands Kroon,Noord-Holland
Krewerd,Eemsdelta,Groningen
Krimpen aan de Lek,Krimpenerwaard,Zuid-Holland
Krimpen aan den IJssel,Krimpen aan den IJssel,Zuid-Holland
Kring van Dorth,Lochem,Gelderland
Krommenie,Zaanstad,Noord-Holland
Kronenberg,Horst aan de Maas,Limburg
Kropswolde,Midden-Groningen,Groningen
Kruiningen,Reimerswaal,Zeeland
Kruisland,Steenbergen,Noord-Brabant
Kudelstaart,Aalsmeer,Noord-Holland
Kuinre,Steenwijkerland,Overijssel
Kuitaart,Hulst,Zeeland
Kwadendamme,Borsele,Zeeland
Kwadijk,Edam-Volendam,Noord-Holland
Kwintsheul,Westland,Zuid-Holland
Kûbaard,Súdwest-Friesland,Friesland
Laag Zuthem,Raalte,Overijssel
Laag-Keppel,Bronckhorst,Gelderland
Laag-Soeren,Rheden,Gelderland
Lage Mierde,Reusel-De Mierden,Noord-Brabant
Lage Vuursche,Baarn,Utrecht
Lage Zwaluwe,Drimmelen,Noord-Brabant
Lageland,Midden-Groningen,Groningen
Lageland GN,Groningen,Groningen
Lambertschaag,Medemblik,Noord-Holland
Lamswaarde,Hulst,Zeeland
Landerum,Terschelling,Friesland
Landgraaf,Landgraaf,Limburg
Landhorst,Land van Cuijk,Noord-Brabant
Landsmeer,Landsmeer,Noord-Holland
Langbroek,Wijk bij Duurstede,Utrecht
Langedijke,Ooststellingwerf,Friesland
Langelille,Weststellingwerf,Friesland
Langelo,Noordenveld,Drenthe
Langenboom,Land van Cuijk,Noord-Brabant
Langerak,Molenlanden,Zuid-Holland
Langeveen,Tubbergen,Overijssel
Langeweg,Moerdijk,Noord-Brabant
Langezwaag,Opsterland,Friesland
Langweer,De Fryske Marren,Friesland
Laren,Laren,Noord-Holland
Laren,Lochem,Gelderland
Lathum,Zevenaar,Gelderland
Lattrop-Breklenkamp,Dinkelland,Overijssel
Lauwersoog,Het Hogeland,Groningen
Lauwerzijl,Westerkwartier,Groningen
Ledeacker,Land van Cuijk,Noord-Brabant
Leek,Westerkwartier,Groningen
Leende,Heeze-Leende,Noord-Brabant
Leens,Het Hogeland,Groningen
Leerbroek,Vijfheerenlanden,Utrecht
Leerdam,Vijfheerenlanden,Utrecht
Leermens,Eemsdelta,Groningen
Leersum,Utrechtse Heuvelrug,Utrecht
Leeuwarden,Leeuwarden,Friesland
Legemeer,De Fryske Marren,Friesland
Leiden,Leiden,Zuid-Holland
Leiderdorp,Leiderdorp,Zuid-Holland
Leidschendam,Leidschendam-Voorburg,Zuid-Holland
Leimuiden,Kaag en Braassem,Zuid-Holland
Leimuiderbrug,Haarlemmermeer,Noord-Holland
Lekkerkerk,Krimpenerwaard,Zuid-Holland
Lekkum,Leeuwarden,Friesland
Lellens,Groningen,Groningen
Lelystad,Lelystad,Flevoland
Lemele,Ommen,Overijssel
Lemelerveld,Dalfsen,Overijssel
Lemiers,Vaals,Limburg
Lemmer,De Fryske Marren,Friesland
Lengel,Montferland,Gelderland
Lent,Nijmegen,Gelderland
Leons,Leeuwarden,Friesland
Lepelstraat,Bergen op Zoom,Noord-Brabant
Lettelbert,Westerkwartier,Groningen
Lettele,Deventer,Overijssel
Leunen,Venray,Limburg
Leur,Wijchen,Gelderland
Leusden,Leusden,Utrecht
Leuth,Berg en Dal,Gelderland
Leutingewolde,Noordenveld,Drenthe
Leuvenheim,Brummen,Gelderland
Leveroy,Nederweert,Limburg
Lewedorp,Borsele,Zeeland
Lexmond,Vijfheerenlanden,Utrecht
Lichtaard,Noardeast-Friesland,Friesland
Lichtenvoorde,Oost Gelre,Gelderland
Liempde,Boxtel,Noord-Brabant
Lienden,Buren,Gelderland
Lierderholthuis,Raalte,Overijssel
Lieren,Apeldoorn,Gelderland
Lierop,Someren,Noord-Brabant
Lies,Terschelling,Friesland
Lieshout,Laarbeek,Noord-Brabant
Liessel,Deurne,Noord-Brabant
Lievelde,Oost Gelre,Gelderland
Lieveren,Noordenveld,Drenthe
Lijnden,Haarlemmermeer,Noord-Holland
Limbricht,Sittard-Geleen,Limburg
Limmen,Castricum,Noord-Holland
Linde,De Wolden,Drenthe
Linden,Land van Cuijk,Noord-Brabant
Linne,Maasgouw,Limburg
Linschoten,Montfoort,Utrecht
Lippenhuizen,Opsterland,Friesland
Lisse,Lisse,Zuid-Holland
Lisserbroek,Haarlemmermeer,Noord-Holland
Lith,Oss,Noord-Brabant
Lithoijen,Oss,Noord-Brabant
Ljussens,Noardeast-Friesland,Friesland
Lobith,Zevenaar,Gelderland
Lochem,Lochem,Gelderland
Loenen,Apeldoorn,Gelderland
Loenen aan de Vecht,Stichtse Vecht,Utrecht
Loenersloot,Stichtse Vecht,Utrecht
Loerbeek,Montferland,Gelderland
Lollum,Súdwest-Friesland,Friesland
Lomm,Venlo,Limburg
Longerhouw,Súdwest-Friesland,Friesland
Loo Gld,Duiven,Gelderland
Loo Gld,Lingewaard,Gelderland
Loon,Assen,Drenthe
Loon op Zand,Loon op Zand,Noord-Brabant
Loosbroek,Bernheze,Noord-Brabant
Loosdrecht,Wijdemeren,Noord-Holland
Loozen,Hardenberg,Overijssel
Lopik,Lopik,Utrecht
Lopikerkapel,Lopik,Utrecht
Loppersum,Eemsdelta,Groningen
Losdorp,Eemsdelta,Groningen
Losser,Losser,Overijssel
Lottum,Horst aan de Maas,Limburg
Loënga,Súdwest-Friesland,Friesland
Lucaswolde,Westerkwartier,Groningen
Luddeweer,Midden-Groningen,Groningen
Luinjeberd,Heerenveen,Friesland
Lunteren,Ede,Gelderland
Lutjebroek,Stede Broec,Noord-Holland
Lutjegast,Westerkwartier,Groningen
Lutjewinkel,Hollands Kroon,Noord-Holland
Luttelgeest,Noordoostpolder,Flevoland
Lutten,Hardenberg,Overijssel
Luttenberg,Raalte,Overijssel
Luxwoude,Opsterland,Friesland
Luyksgestel,Bergeijk,Noord-Brabant
Lytsewierrum,Súdwest-Friesland,Friesland
Maarheeze,Cranendonck,Noord-Brabant
Maarn,Utrechtse Heuvelrug,Utrecht
Maarsbergen,Utrechtse Heuvelrug,Utrecht
Maarssen,Stichtse Vecht,Utrecht
Maartensdijk,De Bilt,Utrecht
Maasbommel,West Maas en Waal,Gelderland
Maasbracht,Maasgouw,Limburg
Maasbree,Peel en Maas,Limburg
Maasdam,Hoeksche Waard,Zuid-Holland
Maasdijk,Westland,Zuid-Holland
Maashees,Land van Cuijk,Noord-Brabant
Maasland,Midden-Delfland,Zuid-Holland
Maassluis,Maassluis,Zuid-Holland
Maastricht,Maastricht,Limburg
Maastricht-Airport,Beek,Limburg
Maasvlakte Rotterdam,Rotterdam,Zuid-Holland
Macharen,Oss,Noord-Brabant
Made,Drimmelen,Noord-Brabant
Makkinga,Ooststellingwerf,Friesland
